SIZE, BASE_RES_MEAN, BASE_RES_STD, OPT_RES_MEAN, OPT_RES_STD
128,0.0025592645009358725, 2.397210255570114e-05, 0.022657076517740887, 0.00041769997582833746
256,0.03229626019795736, 0.002296715648397338, 0.14052248001098633, 0.00644813942759885
512,0.29090237617492676, 0.010825264879737131, 0.8077449003855387, 0.05929260395191219
768,0.7228153546651205, 0.005825316177214277, 5.035370588302612, 0.13968032696156304
1024,3.210579792658488, 0.2419787571343038, 6.252749125162761, 0.20374254934893038
1280,5.255072434743245, 0.2253754397635689, 7.32767995198568, 1.2355075558364994
2048,63.89473628997803, 2.485407057783972, 8.16878366470337, 1.5609070271872614
2172,56.38925504684448, 0.7690308039644045, 7.9722511768341064, 0.6806511222995428
2432,81.04336857795715, 1.9842819437025272, 13.99415405591329, 0.9123291425438096
2560,147.46421837806702, 6.277166860259545, 14.4885316689809, 1.630347339045172
2688,112.40338921546936, 1.1424465963400945, 14.854468901952108, 0.11845897807995955
3200,200.4221739768982, 1.9570795760859765, 19.945088307062786, 0.8073991003213858
4016,454.3786889712016, 6.274496581987905, 31.577474037806194, 1.0146681522681014
